Ref,Val,Package,PosX,PosY,Rot,Side
"C13","4.7uF","C_0805_2012Metric",128.700000,-91.850000,0.000000,bottom
"R18","10K","R_0603_1608Metric",156.050000,-86.700000,180.000000,bottom
"R19","10K","R_0603_1608Metric",156.070000,-91.770000,180.000000,bottom
"R21","5k","R_0603_1608Metric",141.690000,-84.520000,180.000000,bottom
"R22","10k","R_0603_1608Metric",141.700000,-86.300000,0.000000,bottom
"R23","2.2k","R_0603_1608Metric",126.735000,-80.760000,0.000000,bottom
"R24","4.3k","R_0603_1608Metric",130.530000,-80.740000,0.000000,bottom
"U13","LM317_SOT-223","SOT-223-3_TabPin2",129.000000,-85.650000,180.000000,bottom
