Ref,Val,Package,PosX,PosY,Rot,Side
"BME680","~","Bme680",159.220000,-86.690000,-90.000000,top
"ELECBEE1","Elec_Smoke","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",163.174664,-58.487373,-60.000000,top
"MEMS_SMOKE1","MEMS_Smoke","MEMS_SMOKE",127.265660,-66.650659,90.000000,top
"MQ2","~","MQ2-MODULE",126.350000,-87.390000,0.000000,top
"OPTICAL_SMOKE1","~","JST_SHL_SM05B-SHLS-TF_1x05-1MP_P1.00mm_Horizontal",131.230000,-59.730000,0.000000,top
"POWER_IN3","Power_in","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",171.534664,-72.927373,-60.000000,top
"SENSOR_IN1","SENSOR_OUT","RJ45_NEW",146.405000,-42.855000,180.000000,top
"WS2811","LED Strip","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",176.960000,-95.710000,180.000000,top
